         id  price_doc
0     30474 -0.312031 
1     30475  0.269239 
2     30476 -0.112559 
3     30477 -0.099595 
4     30478 -0.454249 
5     30479  0.567002 
6     30480 -0.521873 
7     30481 -0.605609 
8     30482 -0.697585 
9     30483 -0.515803 
10    30484 -0.155997 
11    30485 -0.480395 
12    30486 -0.762622 
13    30487 -0.541960 
14    30488  0.114479 
15    30489 -0.334222 
16    30490  3.400752 
17    30491  2.281611 
18    30492 -0.114785 
19    30493  1.439681 
20    30494  0.052454 
21    30495  1.134713 
22    30496 -0.057881 
23    30497  0.159885 
24    30498 -0.653488 
25    30499 -0.116743 
26    30500  1.001994 
27    30501 -0.037873 
28    30502 -0.777717 
29    30503 -0.438854 
...     ...       ... 
7632  38106 -0.471343 
7633  38107 -0.755386 
7634  38108  0.757728 
7635  38109 -0.365695 
7636  38110 -0.658271 
7637  38111 -0.408951 
7638  38112 -1.048356 
7639  38113  0.029620 
7640  38114  0.107056 
7641  38115 -1.038070 
7642  38116  0.123556 
7643  38117  0.037245 
7644  38118  0.100515 
7645  38119 -0.785345 
7646  38120  0.095919 
7647  38121 -0.185664 
7648  38122  0.227631 
7649  38123 -0.649447 
7650  38124  0.010967 
7651  38125  0.303756 
7652  38126  0.493085 
7653  38127 -0.199479 
7654  38128 -0.993293 
7655  38129 -0.687545 
7656  38130 -0.478144 
7657  38131  0.252585 
7658  38132 -0.423241 
7659  38133 -0.555541 
7660  38134 -0.314440 
7661  38135  0.040976 

[7662 rows x 2 columns]
