id,price_doc
30474,5261032.3
30475,8654988.4
30476,6040000
30477,6467443.666666666
30478,5046887.5
30479,9786903.4
30480,4648835.7
30481,4340650
30482,4340000
30483,4887804.7
30484,6397069.1
30485,4892010.1
30486,3894066.1
30487,4499620.9
30488,7771689.6
30489,5575185
30490,21828076.4
30491,21045005.6
30492,6515226.8
30493,12639000
30494,7303227.9
30495,12920000
30496,7337511.2
30497,8205455.7
30498,4135000
30499,5675400
30500,12805360.2
30501,6835000
30502,3242943.8
30503,3925000
30504,7250000
30505,10992690.9
30506,3007740.2
30507,4932183.333333333
30508,5449637.7
30509,8440000
30510,9109599.6
30511,7052020
30512,6987892.3
30513,4492647.1
30514,3968539.6
30515,10418221.5
30516,5680831
30517,11029786.2
30518,6697442
30519,4761000
30520,7462348.4
30521,3389000
30522,7920625.4
30523,5905000
30524,10988169.4
30525,13037017.9
30526,4716975.1
30527,5225055.8
30528,6185000
30529,6700000
30530,6593516.2
30531,13369376
30532,3331907.7
30533,11320000
30534,7312774.1
30535,9243335.6
30536,5645594
30537,11733170
30538,5454508
30539,9960714.8666666672
30540,9298803.5
30541,5050000
30542,2532000.6
30543,4820000
30544,6807000
30545,9352300
30546,4216974
30547,10377351.1
30548,4513736.7
30549,5401822.1
30550,11170000
30551,5470790.3
30552,1884550.4
30553,6778359.666666666
30554,7150000
30555,6748602.5
30556,9010315.6
30557,9545000
30558,8541566.2
30559,5349502.8
30560,5761500
30561,8344000
30562,13197632.7
30563,4308220.9
30564,6810000
30565,7810479.6
30566,7440279.8
30567,2506948.8
30568,11690000
30569,9440000
30570,7390000
30571,8226479.5
30572,5064596.3583333325
30573,6227685.7
30574,6495100
30575,8297808
30576,4836336.1
30577,4109000
30578,3035023.6
30579,6720000
30580,3445714.2857142859
30581,5640000
30582,11907290.5
30583,7401015.8
30584,3125000
30585,3117996.7
30586,10049246.3
30587,5997967.1
30588,7470000
30589,6475000
30590,10807070
30591,5215000
30592,6905400
30593,7174617.8
30594,5723777.416666666
30595,6165000
30596,6609073
30597,6287418.4
30598,9089154.4
30599,12391850
30600,4211323.3
30601,7043000
30602,2611121.5
30603,12662593.2
30604,5025000
30605,6966869.6
30606,19112111
30607,6048303.2
30608,8719555.6
30609,5664839
30610,3023074.3
30611,5328319.8666666662
30612,7685000
30613,7371376.3
30614,18424366.8
30615,5890000
30616,5287413.5
30617,9249113.2
30618,5260000
30619,4657014.4
30620,2919018.7
30621,8970000
30622,8705893
30623,5467300
30624,6762214
30625,8202121.4
30626,6660000
30627,6307600
30628,6213768.3
30629,5489000
30630,4324682.8
30631,6485370.7
30632,4247482
30633,6140000
30634,11680057.1
30635,9293471.5
30636,5900000
30637,9006677.4
30638,6655000
30639,7534858.7
30640,4844002.5
30641,7747666.1
30642,7270000
30643,7795000
30644,9089154.4
30645,7415000
30646,4530000
30647,4760135.8
30648,26467106
30649,2758283.45
30650,5910000
30651,3007740.2
30652,4760886.9
30653,7391570
30654,4640039.5
30655,11501016.2
30656,4165910.1
30657,6135000
30658,7476014
30659,5004278.2
30660,9750000
30661,7311215.7
30662,9227489
30663,17300767.4
30664,9517758.9
30665,5731367
30666,2653391.5
30667,4017031.3
30668,9116211.4
30669,5703087.3
30670,2758838.3
30671,8666084.8
30672,11530299.4
30673,12286088.3
30674,10635000
30675,2531948.6
30676,7850000
30677,4990000
30678,17770985.4
30679,4925000
30680,6336790.2
30681,2327115.5
30682,8488000
30683,9695240.7
30684,4622262.7
30685,6710000
30686,9788353.2
30687,5143759.3
30688,4475011.5
30689,17115758.9
30690,25651785.2
30691,4104000
30692,3210000
30693,12965000
30694,5795000
30695,7682544.7
30696,6044800
30697,10410000
30698,4435000
30699,4885000
30700,5372853.3
30701,9207354.2
30702,7570000
30703,4081672.6
30704,12428859.3
30705,6730010
30706,23038597
30707,3716980
30708,12120000
30709,5488854.8
30710,8555000
30711,4575122.2
30712,3941925
30713,6683900
30714,6990100
30715,4004034.1
30716,9695240.7
30717,6640000
30718,13676253.3
30719,16563674.6
30720,5135000
30721,5057900
30722,7274211.5
30723,6459126.7
30724,12039406.1
30725,6725000
30726,12715000
30727,11119290.9
30728,13451943.1
30729,3553490
30730,4140000
30731,6287706.2
30732,4600000
30733,7455162.5
30734,6602596.5
30735,5568323.5
30736,5196037.6
30737,5375312
30738,6770000
30739,4259638.25
30740,7191981.4
30741,12068974.9
30742,4208540.4
30743,4880170.8
30744,9594663.2
30745,7648808.3
30746,5728309.7
30747,12509294.4
30748,15556959.4
30749,4747400
30750,6579643.3
30751,3824170
30752,7039961
30753,11369406.7
30754,4480000
30755,4943532
30756,11684430.9
30757,4340000
30758,11380992.9
30759,6782000
30760,5350406.6
30761,9700000
30762,6876938.9
30763,13307146.3
30764,5617604.3
30765,5260796
30766,3741182.4
30767,9010000
30768,5685000
30769,6425000
30770,5734290.7
30771,3261526.7
30772,9120000
30773,7091703.2
30774,5387232.9
30775,12290000
30776,5505000
30777,5710320
30778,8559300
30779,6025000
30780,8515000
30781,6480674.1
30782,5393127
30783,5440883.2
30784,3809550.3
30785,4735000
30786,4525451.9
30787,6094355.8
30788,5085566
30789,8005000
30790,4690000
30791,9903716.9
30792,6765872.3
30793,10937342.7
30794,14823134.9
30795,10453341.4
30796,14475000
30797,15755667.6
30798,2757094
30799,11477411
30800,14470000
30801,6004565.1
30802,17763000
30803,3332761.6
30804,4060002.2
30805,14160000
30806,6540926.4
30807,6870000
30808,9795480.7
30809,5137080.2
30810,11775000
30811,4387612.9
30812,4851000
30813,3905000
30814,3073794.3
30815,4254490.3
30816,8920000
30817,2561742.7
30818,8575000
30819,9819444.6
30820,5115000
30821,19321612.2
30822,7580000
30823,7670100.2
30824,3541612
30825,5244282.6
30826,13140000
30827,5895669.7
30828,4325000
30829,6087000
30830,9520647.1
30831,5223000
30832,6900000
30833,5279239.8
30834,4228338.5
30835,8175000
30836,6585175.3
30837,5384009.6
30838,3002000
30839,6425000
30840,11879529.6
30841,11565000
30842,6651871.9
30843,4869500
30844,5714667.85
30845,8615323.9
30846,4374186.4
30847,5255000
30848,9004525.2
30849,5047114
30850,4779553.7
30851,5294363.6
30852,7632459.6
30853,4243711.9
30854,4806000
30855,6014644.7
30856,8235300
30857,2296105.1
30858,4726437.2
30859,5254442
30860,5710000
30861,9063459.5
30862,7250000
30863,5326858.6
30864,6800000
30865,9456626.5
30866,7030388.7
30867,5290000
30868,10210000
30869,5933260
30870,2810000
30871,6830000
30872,5017474.4
30873,3652224.5
30874,5721350
30875,7820000
30876,4947248.2
30877,9625000
30878,5804746.15
30879,9185300
30880,6591126.7
30881,2561742.7
30882,6992810.3
30883,3270000
30884,5692985.3
30885,5588356.5
30886,6603864
30887,4962500
30888,3865422.6
30889,5682500
30890,7025000
30891,3858549.2
30892,3670533.4
30893,4336021.4
30894,5089000
30895,4533199.1
30896,6145169.9
30897,8719000
30898,7698383
30899,7055842.4
30900,3706050.5
30901,7419493
30902,2497976.3
30903,6265000
30904,8028000
30905,5567631.0200000005
30906,5561073
30907,15140000
30908,4638771
30909,12555966.1
30910,7142124.8
30911,4835527
30912,6808320.2
30913,16218423.8
30914,6399160
30915,10121300
30916,5803231.2
30917,9225000
30918,6976232.4
30919,4943532
30920,4689000
30921,3978818.5
30922,5423000
30923,3876820.5
30924,6221319.9
30925,13775242
30926,7295193
30927,8850000
30928,5507000
30929,6563120.6
30930,10580000
30931,12845693.7
30932,5720333.333333333
30933,4789864.2
30934,13565000
30935,6955321.9
30936,6644589.1
30937,9820108.8
30938,3233997.5
30939,9675209.3
30940,5730378
30941,6085000
30942,3716289.6
30943,6238700.9
30944,5159288.3
30945,2170400
30946,12708885
30947,6008482.7
30948,8282500
30949,6380196.9
30950,6293500
30951,18193962
30952,7167037
30953,7848137.1
30954,4693383.7
30955,5295500
30956,4846655.5
30957,6275000
30958,36671250
30959,8470000
30960,8945000
30961,7290000
30962,10632341.3
30963,3737105.3
30964,2295000
30965,7353314.9
30966,14212239.9
30967,10219582.1
30968,3386958.2
30969,3735120.5
30970,6488235.1
30971,13170000
30972,3735120.5
30973,4686168.7
30974,5181184.7
30975,7025000
30976,4810180.8
30977,7580628
30978,5455000
30979,3738679.5
30980,7412642.4
30981,5477886
30982,7652921.7
30983,3651242.9
30984,5686569.3666666662
30985,3827494.8
30986,9651433.7
30987,9323641
30988,5608000
30989,8620000
30990,13777307.8
30991,10213879.9
30992,2845978.1
30993,7415000
30994,4824000
30995,7153000
30996,5794201
30997,7322165
30998,3977000
30999,5584851.1
31000,7545000
31001,5874694.4
31002,9655000
31003,10300000
31004,4600349.5
31005,3446720.9
31006,7721870.1
31007,5045287
31008,4743672.5
31009,6025000
31010,7160000
31011,4453937.1
31012,5481091.4666666668
31013,8324761.3
31014,15115000
31015,7189511.1
31016,4383448.4
31017,9267591.7
31018,5155000
31019,4471882.2
31020,6480768.7
31021,11889352
31022,19713212.2
31023,9194447.2
31024,3990000
31025,5775307.4
31026,6370000
31027,4653290.8
31028,3445287
31029,8238804.6
31030,7354843.5
31031,10401498.3
31032,9448764.3
31033,10602446.6
31034,6505000
31035,9669467.8
31036,7331000
31037,24895740.6
31038,4495809.7
31039,7041171.6
31040,6337391.8
31041,4258425.85
31042,3517435.95
31043,4974000
31044,6627000
31045,7043254.4
31046,14145179.3
31047,7186482
31048,5816877.6
31049,6752195.1
31050,7263384
31051,6586986.9
31052,3538671.5
31053,17931882
31054,6330224.7
31055,5355792
31056,12408909
31057,5399279.86
31058,7675344.6
31059,3005866.1
31060,7050260.9
31061,6704835
31062,5817023.5
31063,3746281.3
31064,5066032.5
31065,12125000
31066,4783888.8
31067,6210000
31068,4409255.3
31069,4381283.7
31070,5148987.4
31071,3682360.2
31072,6149113.2
31073,2561742.7
31074,7607501.5
31075,6834992.3
31076,5460000
31077,5740098.5
31078,4577843
31079,4656968.7
31080,6409989.8
31081,2860430
31082,10968000
31083,5168695.6
31084,9325368.5
31085,12490416.1
31086,3897880.3
31087,4850000
31088,5600000
31089,6868000
31090,31184761.2
31091,2931999.4
31092,6995291
31093,5731367
31094,6389000
31095,5260000
31096,23467810.6
31097,5040000
31098,8560827.1
31099,16077803.5
31100,4092939.6
31101,4547840
31102,4960054.6
31103,9432300
31104,5425000
31105,9365000
31106,4685731.6
31107,4769959.6
31108,7398000
31109,5322217.9
31110,8944977.5
31111,10165000
31112,6147000
31113,3677103.8
31114,5733000
31115,5277542.7
31116,5785000
31117,6635000
31118,3958992.8
31119,3144131.7
31120,5369900
31121,5884376.9666666668
31122,6688743.5
31123,5016961.3
31124,5449900
31125,13735610.8
31126,14790000
31127,5167475.8
31128,6498235
31129,5288383.7
31130,13573658
31131,8400000
31132,8769085
31133,12387584
31134,6482880
31135,6721755
31136,8690000
31137,4408003.5
31138,7070000
31139,3625663.6
31140,10175622.8
31141,9427200
31142,9200475.8
31143,5547158.4
31144,2875192.9
31145,6018000
31146,3930000
31147,9779166.7
31148,5547256
31149,2506948.8
31150,9065006.6
31151,3505000
31152,7198775.9
31153,4864015.7
31154,12606851.2
31155,7130000
31156,8916000
31157,3661973.22
31158,6835000
31159,6032675.2
31160,5432000
31161,3410059.9
31162,4743414.5
31163,5955000
31164,6127384.4
31165,6556344.5
31166,5845516.4
31167,7454856.5
31168,12897580.2
31169,7438460.8
31170,6725000
31171,18514525.3
31172,5384582.9
31173,10555000
31174,7978389.8
31175,15713480
31176,4776223.9
31177,8621834.2
31178,4185609.2
31179,4523484.9
31180,4161875.1
31181,19037054.8
31182,6337901.2
31183,8256687.9
31184,5670500
31185,4600349.5
31186,9085000
31187,3517228.4
